2025-09-29 16:26:38 | INFO | 新增股票: sh.000030 - 上证180相对成长指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000031 - 上证180相对价值指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000032 - 上证能源行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000033 - 上证原材料行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000034 - 上证工业行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000035 - 上证可选消费行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000036 - 上证主要消费行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000037 - 上证医药卫生行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000038 - 上证金融地产行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000039 - 上证信息技术行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000040 - 上证电信业务行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000041 - 上证公用事业行业指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000042 - 上证中央企业50指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000043 - 上证超级大盘指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000044 - 上证中盘 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000045 - 上证小盘 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000046 - 上证中小 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000047 - 上证全指 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000048 - 责任指数 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000049 - 上证民企 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000050 - 50等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000051 - 180等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000052 - 50基本 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000053 - 180基本 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000054 - 上证海外 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000056 - 上证国企 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000057 - 全指成长 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000058 - 全指价值 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000059 - 全R成长 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000060 - 全R价值 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000061 - 沪企债30 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000062 - 上证沪企 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000063 - 上证周期 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000064 - 非周期 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000065 - 上证龙头 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000066 - 上证商品 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000067 - 上证新兴 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000068 - 上证资源 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000069 - 消费80 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000070 - 能源等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000071 - 材料等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000072 - 工业等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000073 - 可选等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000074 - 消费等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000075 - 医药等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000076 - 金融等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000077 - 信息等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000078 - 电信等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000079 - 公用等权 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000090 - 上证流通 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000091 - 沪财中小 | stock_model.py:66
